Date,High,Low,OpenPrice,Average
16/11/2020-18:09:02,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:09:21,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:09:41,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:10:01,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:10:22,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:10:41,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:11:01,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:11:21,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:11:41,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:12:01,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:12:21,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:12:41,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:13:01,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:13:21,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:15:15,14081.20,13352.20,13499.00,13644.13
16/11/2020-18:15:34,14081.20,13352.20,13499.00,13644.13
