altname,wsname,base,quote
ADAETH,ADA/ETH,ADA,XETH
ADAEUR,ADA/EUR,ADA,ZEUR
ADAUSD,ADA/USD,ADA,ZUSD
ADAUSDT,ADA/USDT,ADA,USDT
ADAXBT,ADA/XBT,ADA,XXBT
ALGOETH,ALGO/ETH,ALGO,XETH
ALGOEUR,ALGO/EUR,ALGO,ZEUR
ALGOUSD,ALGO/USD,ALGO,ZUSD
ALGOXBT,ALGO/XBT,ALGO,XXBT
ATOMETH,ATOM/ETH,ATOM,XETH
ATOMEUR,ATOM/EUR,ATOM,ZEUR
ATOMUSD,ATOM/USD,ATOM,ZUSD
ATOMXBT,ATOM/XBT,ATOM,XXBT
AUDJPY,AUD/JPY,ZAUD,ZJPY
AUDUSD,AUD/USD,ZAUD,ZUSD
BALETH,BAL/ETH,BAL,XETH
BALEUR,BAL/EUR,BAL,ZEUR
BALUSD,BAL/USD,BAL,ZUSD
BALXBT,BAL/XBT,BAL,XXBT
BATETH,BAT/ETH,BAT,XETH
BATEUR,BAT/EUR,BAT,ZEUR
BATUSD,BAT/USD,BAT,ZUSD
BATXBT,BAT/XBT,BAT,XXBT
BCHAUD,BCH/AUD,BCH,ZAUD
BCHETH,BCH/ETH,BCH,XETH
BCHEUR,BCH/EUR,BCH,ZEUR
BCHGBP,BCH/GBP,BCH,ZGBP
BCHJPY,BCH/JPY,BCH,ZJPY
BCHUSD,BCH/USD,BCH,ZUSD
BCHUSDT,BCH/USDT,BCH,USDT
BCHXBT,BCH/XBT,BCH,XXBT
COMPETH,COMP/ETH,COMP,XETH
COMPEUR,COMP/EUR,COMP,ZEUR
COMPUSD,COMP/USD,COMP,ZUSD
COMPXBT,COMP/XBT,COMP,XXBT
CRVETH,CRV/ETH,CRV,XETH
CRVEUR,CRV/EUR,CRV,ZEUR
CRVUSD,CRV/USD,CRV,ZUSD
CRVXBT,CRV/XBT,CRV,XXBT
DAIEUR,DAI/EUR,DAI,ZEUR
DAIUSD,DAI/USD,DAI,ZUSD
DAIUSDT,DAI/USDT,DAI,USDT
DASHEUR,DASH/EUR,DASH,ZEUR
DASHUSD,DASH/USD,DASH,ZUSD
DASHXBT,DASH/XBT,DASH,XXBT
DOTETH,DOT/ETH,DOT,XETH
DOTEUR,DOT/EUR,DOT,ZEUR
DOTUSD,DOT/USD,DOT,ZUSD
DOTUSDT,DOT/USDT,DOT,USDT
DOTXBT,DOT/XBT,DOT,XXBT
EOSETH,EOS/ETH,EOS,XETH
EOSEUR,EOS/EUR,EOS,ZEUR
EOSUSD,EOS/USD,EOS,ZUSD
EOSUSDT,EOS/USDT,EOS,USDT
EOSXBT,EOS/XBT,EOS,XXBT
ETHAUD,ETH/AUD,XETH,ZAUD
ETHCHF,ETH/CHF,XETH,CHF
ETHDAI,ETH/DAI,XETH,DAI
ETHUSDC,ETH/USDC,XETH,USDC
ETHUSDT,ETH/USDT,XETH,USDT
EURAUD,EUR/AUD,ZEUR,ZAUD
EURCAD,EUR/CAD,ZEUR,ZCAD
EURCHF,EUR/CHF,ZEUR,CHF
EURGBP,EUR/GBP,ZEUR,ZGBP
EURJPY,EUR/JPY,ZEUR,ZJPY
FILETH,FIL/ETH,FIL,XETH
FILEUR,FIL/EUR,FIL,ZEUR
FILUSD,FIL/USD,FIL,ZUSD
FILXBT,FIL/XBT,FIL,XXBT
GNOETH,GNO/ETH,GNO,XETH
GNOEUR,GNO/EUR,GNO,ZEUR
GNOUSD,GNO/USD,GNO,ZUSD
